sku,guide_name,form,pdf_page,analysis,rate_text,min_dilution,frequency_text,cadence_days,cadence_min_days,cadence_max_days,window,max_per_year,one_off,tank_group,method,mix_together,independent,water_in,soil_drench,foliar,fertigation,hydroponic,hose_on,mix_with_iron,jar_test,application_notes,benefits,superpowers,in_catalog
A8X,Activ8EXTRA,liquid,2,"16-2-5 NPK + seaweed, fish, blood & bone, humic, fulvic",75–100 mL per 100 m²,1:100,"Fortnightly in the growing season, once a month when nights are below 10°C, year-round.",14,14,14,growing_season,16,0,no_iron_mix,spray,1,0,1,1,1,1,0,0,0,1,"Agitate well before use. Apply with sufficient water for even coverage and lightly water in if required. You can choose to lightly water in or leave on the leaf to dry prior to a light watering. Suitable for foliar, soil and fertigation applications. Compatible with most liquid fertilisers; always jar test before tank mixing.","A high-performance liquid fertiliser and soil conditioner that promotes rapid green growth while improving soil biology, nutrient availability and plant resilience. Helps inoculate turf, grass and soil, supports the conversion of fertilisers into plant-available nutrients, improves water penetration, reduces runoff and helps stabilise nutrients within the rhizosphere for longer-lasting plant access.","Traditional 16-2-5 NPK | Enriched with seaweed extract, fish, blood & bone, humic acid and fulvic acid | Feeds beneficial microbes | Buffers salts | Increases micronutrient availability | Improves nutrient use efficiency | Creates a healthier root zone by enhancing soil aeration, microbial activity and nutrient cycling.",1
A8M,Activ8mate,liquid,2,"8-1-4 NPK + seaweed, fish, humic, fulvic, traces",100 mL per 100 m²,1:100,"Fortnightly in the growing season, once a month when nights are below 10°C, year-round.",14,14,14,growing_season,16,0,no_iron_mix,spray,1,0,1,1,1,1,0,0,0,0,"Shake well before use. Apply evenly across lawns, gardens, vegetables, trees and natives. Light watering after application helps move nutrients into the soil and activate microbial processes. Suitable for foliar, soil and fertigation applications. Avoid mixing with iron products.","A complete liquid fertiliser and soil conditioner that feeds lawns, plants and trees while improving soil biology, nutrient availability and root zone health. Helps stabilise nutrients in the rhizosphere, keeping them available for longer and improving nutrient efficiency. Supports stronger growth, healthier roots and improved resilience to environmental stress.","Traditional 8-1-4 NPK | Enriched with seaweed extract, fish, humic acid, fulvic acid, trace elements and beneficial microbial stimulants | Supports microbial activity | Improves nutrient conversion and chelation | Enhances soil structure | Increases water retention | Helps stabilise nutrients within the rhizosphere for longer plant availability.",1
886,Champion Lawn & Fairway 2-4mm granular fertiliser,granular,2,"15.1-3-8.9 NPK + 7.3% silica, 3.8% S, 3.4% Fe + VolcaMin",20–40 g per m² (2–4 kg per 100 m²). Half rate in autumn and winter.,,"Every 3 months, year-round.",84,56,84,growing_season,4,0,granular,spread,0,1,1,0,0,0,0,0,0,0,"Apply evenly using a broadcast spreader. Water in lightly after application to activate nutrients. Avoid applying during the heat of the day or when temperatures exceed 30°C. Suitable for residential lawns, fairways, tees, sports turf and professional turf applications.","A premium slow-release mineral fertiliser that provides consistent nutrition for greener, denser and more resilient turf. Improves nutrient efficiency, reduces leaching and runoff, strengthens plant growth, and supports better stress tolerance, disease resistance and long-term turf performance. Includes VolcaMin zeolite technology which acts as a natural molecular sieve and nutrient-holding super sponge.","15.1-3-8.9 NPK | 7.3% Silica | 3.8% Sulphur | 3.4% Iron | VolcaMin zeolite technology | Helps stabilise nutrients in the soil, releasing them gradually when plants and microbes require them.",1
892,Champion Lawn & Greens Mini-Prill Fertiliser,granular,2,"16.8-1.1-9.1 NPK + 8% silica, 3.15% Fe + VolcaMin",20–40 g per m² (2–4 kg per 100 m²). Half rate in autumn and winter.,,"Every 3 months, year-round.",84,56,84,growing_season,4,0,granular,spread,0,1,1,0,0,0,0,0,0,0,"Apply evenly using a suitable spreader for fine turf applications. The 1–2 mm mini-prill size provides excellent distribution across low-cut lawns, greens and high-performance turf. Lightly water after application to activate nutrients and minimise the risk of leaf burn.","A premium greens-grade slow-release mineral fertiliser designed for fine turf, low-cut lawns and professional sporting surfaces. Provides an initial colour response followed by sustained feeding for up to 3 months.","16.8-1.1-9.1 NPK | 8% Silica | 3.15% Iron | VolcaMin zeolite technology | Essential trace elements | Helps stabilise nitrogen | Improve phosphorus availability | Retain iron in the root zone | High silica for heat, drought, disease and wear tolerance.",1
DOL,Dolomite Granules,granular,3,Calcium magnesium carbonate (dolomite),5 kg per 100 m² (may vary with soil pH and magnesium levels).,,Apply during autumn or early spring for best results. Can be used as part of a regular soil improvement program or before planting and lawn establishment.,365,365,365,year_round,1,1,granular,spread,0,0,1,0,0,0,0,0,0,0,"Test soil pH and magnesium levels before application. Apply evenly across the area and water in to help granules break down. Avoid over-application, as excessive use can create nutrient imbalances.","A soil conditioner that helps neutralise acidic soils while supplying essential calcium and magnesium for stronger roots, healthier plants and improved nutrient availability.","Calcium magnesium carbonate (dolomite) | Calcium for cell walls, roots and soil structure | Magnesium for chlorophyll | Helps optimise soil pH, unlocking N, P and K.",1
575,"Flowers, Fruits & Roots - Granular",granular,3,"8-2-20 NPK + 8.8% S, 6.9% silica, Ca, Mg, traces",2–5.5 kg per 100 m² depending on plant type.,,"Every 3 months, year-round.",120,120,120,growing_season,3,0,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly around plants and water in well after application. Suitable for flowers, vegetables, herbs, fruit trees, ornamental plants and lawns. Use caution with phosphorus-sensitive natives such as grevilleas, banksias and proteas.","A high-potassium mineral fertiliser designed to support stronger roots, vibrant flowers, improved fruit development and healthier plants.","8-2-20 NPK | 8.8% Sulphur | 6.9% Silica | Calcium | Magnesium | Essential trace elements | High potassium for flower initiation, fruit and stress tolerance | Silica strengthens plant cells.",1
721,"Flowers, Fruits & Roots - Liquid",liquid,3,"9-7-19 NPK + humic, seaweed, traces",80–120 mL per 100 m² depending on plant type.,,"Apply every 4 weeks during flowering/fruiting. Vegetables can be applied fortnightly when actively producing. Trees, fruit and vines can be applied every 6–8 weeks as required.",28,14,56,growing_season,10,0,mixable,spray,1,0,1,1,1,1,0,0,0,0,"Apply evenly to soil or foliage during the cooler parts of the day. Shake well before use. Suitable for flowers, vegetables, fruit trees, herbs, ornamental plants and turf. Use caution with phosphorus-sensitive native plants.","A fast-acting high-potassium liquid fertiliser designed to support flowering, fruit development and stronger root growth.","9-7-19 NPK | Humic acid | Seaweed extract | Traces including Fe, Zn, Mn, Cu, B, Mg, Mo | High potassium for flowering and fruit fill | Humic compounds improve nutrient availability.",1
414,Fulvic Acid Liquid,liquid,3,High-grade fulvic acid,Varies by application type.,,"Apply weekly or fortnightly as required throughout the growing season. Suitable for year-round use across turf, gardens, vegetables, fruit trees, hydroponics and agricultural systems.",14,7,14,year_round,24,0,no_iron_mix,spray,1,0,1,1,1,1,1,0,0,1,"Can be applied through soil, foliar sprays, fertigation or hydroponic systems. Compatible with most fertilisers, soil conditioners and crop inputs; always conduct a jar test before tank mixing.","A powerful bio-stimulant and soil conditioner that improves nutrient availability, enhances fertiliser efficiency and supports stronger root and plant growth.",High-grade fulvic acid | Natural chelating agent | Improves nutrient uptake efficiency | Supports microbial activity | Enhances root development | Helps stabilise fertilisers in the soil | Small molecules move rapidly through plant tissues.,1
29814,Fulvic Acid Powder >92%,powder,4,">92% fulvic acid, CEC ~1400",Varies by application type.,,"Apply throughout the growing season as required. Particularly beneficial during seeding, transplanting, flowering, fruiting, nutrient deficiencies, and periods of plant stress.",21,21,21,growing_season,12,0,no_iron_mix,spray,0,0,0,1,1,1,1,0,0,1,"Fully soluble powder suitable for fertigation, foliar sprays, soil drenches and hydroponic systems. Can be combined with fertilisers to improve nutrient efficiency. Always conduct a jar test before mixing with new products, especially selective herbicides. Store sealed and dry.","A highly concentrated bio-stimulant that improves nutrient availability, enhances fertiliser efficiency and supports stronger plant growth.",>92% fulvic acid concentrate | CEC ~1400 | Powerful natural chelator | Enhances microbial activity | Supports root development | Improves fertiliser performance.,1
1075,Gypsum Granules 1–2mm Mini Prill,granular,4,"19% Ca, 14% S",100 g per m² (10 kg per 100 m²). Ideally based on soil analysis.,,"Apply when soils are compacted, heavy clay, sodic, or calcium deficient. Ideal during soil preparation, before planting, or as part of an ongoing soil improvement program.",365,365,365,year_round,1,1,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly across the soil surface and water in after application to assist movement into the soil profile. Suitable for lawns, gardens, landscaping, parks, ovals and agricultural applications.","A slow-release calcium sulphate soil conditioner that improves soil structure, reduces compaction and supports healthier root growth without significantly changing soil pH.",19% Calcium | 14% Sulphur | Improves soil aggregation | Displaces excess sodium in sodic soils | 1–2 mm mini prill for even spreading with minimal dust.,1
