,,,,,,,PROBLEMS (0-5),,,,,,,,USE CASE (0-1),,,,,SOIL TAGS (1-3),,,,,,Seasonal Relevance (0-3),,,,Application Method (0-1),,,,,Compatibility (0-1),,,,,,,,,,,,GOALS - LAWNS,,,,,GOALS - GARDENS,,,,,GOALS - FARMS,,,,
Product Name,SKU,VISUAL CODE,Category,Primary Function,Role Type,Priority Score,Yellowing Leaves,Slow Growth,Compacted Soil,Poor Water Retention,Nutrient Lockout,Patchy Lawn,Fungal Issues,Weak Roots,Lawn,Garden Beds,Indoor Plants,Pots,Farms,Sandy Soil,Clay Soil,Acidic Soil,Alkaline Soil,Low Organic Matter,Hydrophobic Soil,Spring,Summer,Autumn,Winter,Liquid Spray,Hose-On,Granular,Fertigation Compatible,Soil Drench,Pairs with Seaweed,Pairs with Humic,Pairs with Fertiliser,Safe for Regular Use,Needs Spacing,Intensity (1-3),Short Recommendation Reason,Problem Explanation,Why This Works,NOTES,App Logic considerations,App positioning,Deep green colour,Thickening and density,Fast recovery from stress,Weed suppression through dominance,Low maintenance resilience,Strong flowering and fruiting performance,Improved soil fertility over time,Root development and transplant success,Pest and disease resilience,Consistent growth across seasons,Yield increase,Soil efficiency,Water efficiency,Crop uniformity,Reduced input dependency over time
Activ8EXTRA Boosted Liquid Fertiliser & Inoculant,A8X,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/A8X01L.jpg?20240315123638"" alt=""Activ8EXTRA Boosted Liquid Fertiliser"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/activ8extra-high-nitrogen-liquid-lawn-fertiliser-p"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Activ8EXTRA Boosted Liquid Fertiliser
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Fast-acting nutrition combined with biological inputs to feed plants and soil.
    </p>
  </div>",Liquid fertiliser; Biostimulant,Growth; Soil biology activation,Base fertiliser (with biostimulant support),9,4,5,2,4,2,4,2,4,1,1,1,1,1,3,3,2,2,5,2,3,3,2,2,1,1,0,1,1,1,1,1,1,1,3,Fast-acting liquid fertiliser that drives strong green growth while rebuilding soil health,"Plants struggle when nutrients are locked in the soil or biology is weak, leading to slow growth, yellowing, and poor recovery","Combines high nitrogen with organic inputs and fulvic acid to improve nutrient uptake, activate microbes, and enhance soil structure for sustained growth",,,,3,3,4,3,3,3,4,4,3,4,5,4,3,4,3
CHAMPION Lawn & Fairway Fertiliser,886," <div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""CHAMPION Fertiliser"" src=""https://www.plantdoctor.com.au/assets/full/886_888.jpg?20200710030233"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/champion-mineral-lawn-fairway-fertiliser-new"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">CHAMPION – Sustained Release Fertiliser</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">A premium fertiliser with slow-release nutrients for up to 3 months.</div>
  </div>",Granular fertiliser (slow-release mineral),Sustained growth;  turf resilience,Base Fertiliser,9,4,4,3,2,2,4,3,5,1,0,0,0,0,3,3,2,2,3,2,3,3,3,1,0,0,1,0,0,1,1,0,1,1,2,Long-lasting granular fertiliser that feeds your lawn for up to 3 months while improving strength and resilience,"Frequent fertilising leads to nutrient loss, inconsistent growth, and weak turf that struggles under stress","Uses slow-release mineral nutrition with zeolite technology to hold and release nutrients over time, improving efficiency, strengthening plant cells with silica, and supporting consistent turf performance",,,,5,5,4,4,5,1,1,1,1,1,2,2,2,2,2
CHAMPION Mineral Low Cut Lawn Fertiliser (Greens Grade),892,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/892_894.jpg?20210728105445"" alt=""Champion Mineral Low Cut Lawn Fertiliser"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/champion-mineral-low-cut-lawn-fertiliser-new"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Champion Mineral Low Cut Lawn Fertiliser
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Specialised fertiliser designed for low cut lawns, delivering balanced nutrition to support dense, healthy turf and consistent colour.
    </p>
</div>","Granular fertiliser (slow-release mineral, mini-prill)",Sustained growth;  fine turf performance,Base fertiliser,8,4,4,2,2,2,4,3,5,1,0,0,0,0,3,3,2,2,3,2,3,3,3,1,0,0,1,0,0,1,1,0,1,1,2,"Precision slow-release fertiliser designed for low-cut lawns, delivering consistent colour, density, and turf performance","Low-cut lawns lose nutrients quickly and struggle to maintain density, colour, and resilience under frequent mowing and stress","Mini-prill technology ensures even distribution in short turf while zeolite holds and releases nutrients over time, improving efficiency, strengthening plant cells with silica, and supporting consistent high-performance turf",,,,5,5,4,4,5,1,1,1,1,1,2,2,2,2,2
"Flowers, Fruits & Roots Granular Fertiliser (8-2-20 + T/E)",575,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/alt_2/575.jpg?20260217113730"" alt=""Flowers, Fruits & Roots Granular Fertiliser"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/flowers-fruits-roots-granular-fertiliser-8-2-20-np"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Flowers, Fruits & Roots Granular Fertiliser
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      High-potassium, slow-release fertiliser designed to boost flowering, fruiting, and root development while improving long-term soil health.
    </p>
</div>",Granular fertiliser (slow-release mineral),"Flowering, fruiting;  root development",Booster fertiliser (reproductive stage),8,3,3,2,3,2,0,1,5,0,1,1,1,1,3,3,2,2,4,3,3,3,2,1,0,0,1,0,0,1,1,0,1,1,2,"High-potassium fertiliser designed to boost flowering, fruit production, and root strength","Plants often produce weak flowers, poor fruit yield, or bland produce when potassium and trace minerals are lacking during key growth stages","Delivers slow-release potassium with essential minerals and trace elements to improve flowering, fruit fill, sugar production, and root development while enhancing soil biology and structure",,,,1,1,1,1,1,5,4,2,4,4,5,4,4,4,4
"Flowers, Fruits & Roots Liquid Fertiliser (9-7-19 + T/E)",721,"<div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;""><img alt=""Flowers, Fruits and Roots Fertiliser"" src=""https://www.plantdoctor.com.au/assets/full/721_722.jpg?20200710030236"" style=""width: 100%; height: auto; border-radius: 8px;"" />
<div style=""font-size: 18px; font-weight: bold; margin-top: 10px;""><a href=""https://www.plantdoctor.com.au/flowers-fruits-and-roots-liquid-fertiliser"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Flowers, Fruits & Roots</a></div>

<div style=""font-size: 14px; color: #555;"">A custom blend liquid fertiliser, stabilised and buffered with complex organic compounds for added support during budding, flowering & fruiting.</div>
</div>",Liquid fertiliser (high potassium + humic),"Flowering, fruiting;  root development",Booster fertiliser (reproductive stage),9,3,4,2,4,2,0,1,5,0,1,1,1,1,3,2,2,2,4,2,3,3,2,1,1,1,0,1,1,1,1,0,1,1,2,"Fast-acting liquid fertiliser that boosts flowering, fruit yield, and root strength when plants need it most","Plants often fail to flower or fruit properly due to low potassium, poor nutrient uptake, or weak root systems during critical growth stages","Delivers high potassium with balanced NPK and trace elements, enhanced by humic acid and wetting agents to improve nutrient absorption, soil moisture movement, and plant energy for flowering and fruit production",,,,1,1,1,1,1,5,4,2,4,4,5,4,4,4,4
Lawn Envy Hose-On Liquid Lawn & Garden Tonic,LEN,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;""><img alt=""Lawn Envy"" src=""https://www.plantdoctor.com.au/assets/full/LEN02L.jpg?20240315122929"" style=""width: 60%; border-radius: 8px;"" /> <a href=""https://www.plantdoctor.com.au/lawn-envy"" style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"" target=""_blank'"">Lawn Envy</a>

<p style=""font-size: 14px; color: #555; margin-top: 8px;"">Quick Easy All-round Lawn Food - Suitable for all grass.</p>
</div>",All-in-one liquid fertiliser;  soil conditioner,Lawn greening;  soil restoration;  stress recovery,All-in-one system (foundation + booster hybrid),10,5,5,2,5,2,4,3,5,1,1,1,1,0,3,4,2,3,3,3,3,3,3,3,1,1,0,1,1,1,1,0,1,0,3,"All-in-one lawn treatment that greens turf, improves soil health, and fixes water and nutrient issues in a single application","Most lawn problems come from a combination of nutrient deficiency, poor soil biology, and water repellency, meaning single-ingredient fertilisers only fix part of the issue","Combines NPK fertiliser, iron chelate, seaweed extract, humic and fulvic acids, and wetting agents to simultaneously feed the plant, stimulate soil biology, improve nutrient uptake, and correct water penetration issues for faster, more consistent lawn recover",,,,5,4,5,3,4,4,5,5,4,5,2,3,3,2,3
Liquid Iron Fertiliser (7% Iron + 3% Sulphur + Fulvic Acid),LIR,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/LIR01L.jpg?20240314104207"" alt=""Liquid Iron Fertiliser"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/plant-doctor-7-iron-3-sulphur-liquid-fertiliser"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Liquid Iron – 7% Iron & 3% Sulphur
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Corrects iron deficiency and promotes deep green, healthy growth.
    </p>
  </div>",Liquid micronutrient fertiliser (iron corrective),Rapid greening;  iron deficiency correction (chlorosis recovery),Corrective treatment (micronutrient + colour enhancer),9,5,3,2,2,3,4,1,3,1,1,1,1,1,3,3,2,5,3,2,3,3,2,3,1,0,0,0,1,1,1,1,1,1,3,Fast-acting iron fertiliser that restores deep green colour and corrects yellowing caused by iron deficiency or nutrient lockout,"Plants often appear yellow or pale even when fertilised due to iron being locked in the soil, especially in high pH or alkaline conditions where uptake is restricted","Delivers highly available iron (7%) combined with sulphur (3%) and fulvic acid, which improves nutrient chelation and uptake efficiency, rapidly restoring chlorophyll production and improving plant colour and vigour","Do NOT mix with other products (especially dark liquids)
Apply separately to avoid reactions and nozzle issues",,,5,4,3,2,2,2,2,2,2,3,3,3,1,3,1
MaxGreen Hi-Nitrogen + Iron Liquid Fertiliser,MG,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;""><img alt=""Max Green"" src=""https://www.plantdoctor.com.au/assets/full/MG02L.jpg?20240315122009"" style=""width: 60%; border-radius: 8px;"" /> <a href=""https://www.plantdoctor.com.au/maxgreen-hi-n-iron-liquid-fertiliser-growth-plus-g"" style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"" target=""_blank""> Max Green</a>

<p style=""font-size: 14px; color: #555; margin-top: 8px;"">Liquid Iron with Nitrogen Fertiliser For greening and growth 8% Nitrogen; 2.5% Iron (Fe); 1% Sulphur (S)</p>
</div>",Liquid fertiliser (high nitrogen + iron + fulvic acid),Rapid greening; growth surge;  chlorophyll recovery,Booster fertiliser (fast growth + colour correction hybrid),10,5,5,2,3,3,4,1,4,1,1,1,1,0,3,3,2,5,3,2,3,3,2,3,1,1,0,1,1,1,0,1,1,1,3,Fast-acting nitrogen and iron blend that rapidly greens lawns while driving strong growth and correcting nutrient deficiencies,"Lawns often appear yellow, weak, or patchy due to iron lockout, nitrogen deficiency, or poor nutrient uptake in high pH or compacted soils","Combines readily available nitrogen (for growth), iron (for chlorophyll production), and fulvic acid (for enhanced nutrient transport), delivering fast uptake and visible greening response while improving overall plant vigour","Do NOT mix with humic acids or dark liquid products
Apply separately to avoid reactions and clogging",,,5,4,4,3,3,3,3,3,3,4,4,4,2,4,2
Neem Slow Release Granules (1–2mm),758,"<div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""Neem Granules"" src=""https://www.plantdoctor.com.au/assets/alt_5/758.jpg?20210211071632"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/neem-fertiliser-slow-release-granules-1-2mm"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Neem Granules – Fertiliser</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">A slow-release fertiliser with neem oil for soil and plant health.</div>
  </div>",Organic slow-release granular fertiliser; soil conditioner,Soil health restoration; pest resistance; slow nutrition release,Soil conditioner (dual-purpose: nutrition + biological support),8,3,3,4,5,4,2,3,5,1,1,1,1,1,3,3,2,2,5,5,3,3,3,3,0,0,1,0,0,1,1,1,1,0,1,"Slow-release soil conditioner that improves soil structure, boosts nutrient efficiency, and supports long-term plant health","Many gardens and lawns suffer from poor soil structure, low biological activity, and water repellency, which leads to weak root systems and inefficient fertiliser use","Combines neem-derived organic compounds with zeolite mineral technology and soil wetting agents to improve nutrient retention, water infiltration, and soil microbial conditions, creating a stronger long-term growing environment rather than forcing rapid top growth",,,,2,3,3,4,5,4,5,5,5,5,4,5,5,4,5
